Company Random #,Sales Rep Random #,Contacts Full Name,Title,Company,Company Headcount,Industry,Company Website,Sales Representative
721,30,Jerome Kender,Environmental Tech,Till Capital Ltd.,201-500,Property-Casualty Insurers,www.till.com,Perry Poole
982,42,Margaux Scrowton,Senior Editor,Grupo Aval Acciones y Valores S.A.,201-500,Commercial Banks,www.grupo.com,Georgia Middleton
111,82,Chandal Tulk,Senior Developer,"China Jo-Jo Drugstores, Inc.",1001-5000,Specialty Chemicals,www.china.com,Rudyard Harrison
907,34,Anjela Ambrosio,Biostatistician III,Vulcan Materials Company,501-1000,Mining & Quarrying of Nonmetallic Minerals (No Fuels),www.vulcan.com,Dolan Merrill
877,2,Virginie Ropp,Physical Therapy Assistant,"First Financial Northwest, Inc.",10000+,Major Banks,www.first.com,Samuel Acosta
521,15,Modestine Stother,Media Manager III,"Coherus BioSciences, Inc.",201-500,Biotechnology: Biological Products (No Diagnostic Substances),www.coherus.com,Clayton Reid
772,88,Mada Skirvin,Web Designer I,RADA Electronic Industries Ltd.,501-1000,Electronic Components,www.rada.com,Rhona Gross
994,69,Gibbie Morfey,Software Engineer III,"Kingstone Companies, Inc",501-1000,Property-Casualty Insurers,www.kingstone.com,Jack Francis
471,62,Ronald Drever,Geologist IV,"Connecticut Water Service, Inc.",10000+,Water Supply,www.connecticut.com,Alexander Barlow
615,18,Milena Cargon,Research Nurse,Alphabet Inc.,501-1000,"Computer Software: Programming, Data Processing",www.alphabet.com,Porter Conway
697,96,Gerard Edlestone,Compensation Analyst,Dynegy Inc.,201-500,Holdings,www.dynegy.com,Joy Valencia
575,28,Kaine Venditto,Engineer IV,KT Corporation,501-1000,Telecommunications Equipment,www.kt.com,Thomas Kidd
97,68,Micky Benoiton,Programmer III,"DHT Holdings, Inc.",1001-5000,Marine Transportation,www.dht.com,Libby Lyons
81,95,Fairlie Wakefield,Web Designer I,RELX N.V.,201-500,Publishing,www.relx.com,Penelope Bolton
906,61,Ruth Ghioni,Environmental Specialist,Penn West Petroleum Ltd,1001-5000,Oil & Gas Production,www.penn.com,Maryam Whitfield
115,81,Nathanil Adie,Recruiting Manager,"Pulse Biosciences, Inc",1001-5000,Medical/Dental Instruments,www.pulse.com,Solomon Matthews
124,68,Eunice Ashborne,Research Nurse,"New York Community Bancorp, Inc.",501-1000,Banks,www.new.com,Libby Lyons
621,48,Grace Coggins,Account Coordinator,"Eleven Biotherapeutics, Inc.",10000+,Major Pharmaceuticals,www.eleven.com,Jolie Nash
146,96,Vail Hairesnape,Chemical Engineer,"TC PipeLines, LP",501-1000,Natural Gas Distribution,www.tc.com,Joy Valencia
328,64,Munmro Fowlie,Actuary,Stantec Inc,1001-5000,Military/Government/Technical,www.stantec.com,Rama Frye
41,67,Elaine Wesgate,Tax Accountant,"Covenant Transportation Group, Inc.",10000+,Trucking Freight/Courier Services,www.covenant.com,Velma Eaton
835,85,Reyna Blenkinship,Civil Engineer,PowerShares S&P SmallCap Consumer Discretionary Portfolio,201-500,Holdings,www.powershares.com,Ria Gilbert
453,87,Levin Willoughby,Environmental Tech,"FCB Financial Holdings, Inc.",10000+,Major Banks,www.fcb.com,Lacy Chambers
867,98,Yorker Veillard,Senior Editor,"Merrill Lynch & Co., Inc.",1001-5000,Holdings,www.merrill.com,Maryam Mann
616,14,Farrand Furse,Senior Quality Engineer,Brookfield Asset Management Inc,1001-5000,Building operators,www.brookfield.com,Martin Pruitt
421,10,Ryun Le Claire,Civil Engineer,Newfield Exploration Company,1001-5000,Oil & Gas Production,www.newfield.com,Seth Rosario
827,22,Donnie Clere,Accounting Assistant II,Hutchison China MediTech Limited,10000+,Major Pharmaceuticals,www.hutchison.com,Fuller Spencer
923,94,Cynthy Dover,Software Test Engineer IV,JMU Limited,201-500,EDP Services,www.jmu.com,Adam Burch
379,2,Jenni Mulderrig,Safety Technician III,John Hancock Income Securities Trust,501-1000,Holdings,www.john.com,Samuel Acosta
228,64,Noel Beardow,Teacher,"Customers Bancorp, Inc",10000+,Holdings,www.customers.com,Rama Frye
837,47,Chip Haydon,Programmer Analyst IV,Genie Energy Ltd.,501-1000,Holdings,www.genie.com,Ursa Singleton
934,10,Rafaello Burfitt,VP Quality Control,RenaissanceRe Holdings Ltd.,501-1000,Holdings,www.renaissancere.com,Seth Rosario
355,92,Ransom Kitteridge,Administrative Officer,"Ventas Realty, Limited Partnership // Ventas Capital Corporati",10000+,Real Estate Investment Trusts,www.ventas.com,Basil Leach
405,67,Selene Slade,Senior Developer,"HFF, Inc.",201-500,Real Estate,"www.hff,.com",Velma Eaton
694,52,Avrit Shepard,Accounting Assistant III,"Mirna Therapeutics, Inc.",1001-5000,Major Pharmaceuticals,www.mirna.com,Daphne Lindsey
49,76,Jae De Bischop,Quality Control Specialist,"Reven Housing REIT, Inc.",201-500,Real Estate Investment Trusts,www.reven.com,Bethany Horne
621,7,Xenos Standish,Occupational Therapist,"Eleven Biotherapeutics, Inc.",10000+,Major Pharmaceuticals,www.eleven.com,Shaeleigh Ruiz
185,17,Nedi Tite,Structural Analysis Engineer,Granite Real Estate Inc.,1001-5000,Holdings,www.granite.com,Melodie Kinney
426,44,Betsy Proschke,Marketing Assistant,Eaton Vance Enhanced Equity Income Fund II,10000+,Holdings,www.eaton.com,Lani Solomon
730,88,Rozanne Goodsell,Pharmacist,Peoples Financial Services Corp. ,1001-5000,Major Banks,www.peoples.com,Rhona Gross
721,61,Katharina Cockshoot,Professor,Till Capital Ltd.,201-500,Property-Casualty Insurers,www.till.com,Maryam Whitfield
453,13,Eva Chipchase,Administrative Assistant III,"FCB Financial Holdings, Inc.",10000+,Major Banks,www.fcb.com,Anjolie Murphy
736,94,Artur Craythorn,Clinical Specialist,Dreyfus High Yield Strategies Fund,201-500,Holdings,www.dreyfus.com,Adam Burch
516,14,Krissy Rosenberg,Community Outreach Specialist,Qiagen N.V.,1001-5000,Biotechnology: Biological Products (No Diagnostic Substances),www.qiagen.com,Martin Pruitt
181,82,Matelda Gaisford,Clinical Specialist,Blackrock New York Municipal Income Quality Trust,1001-5000,Holdings,www.blackrock.com,Rudyard Harrison
945,44,Seward Ivankov,Budget/Accounting Analyst I,"Red Robin Gourmet Burgers, Inc.",501-1000,Restaurants,www.red.com,Lani Solomon
900,19,Ynes Petri,VP Quality Control,"Hawthorn Bancshares, Inc.",1001-5000,Major Banks,www.hawthorn.com,Hasad Conrad
279,70,Butch Epine,Editor,"Valhi, Inc.",1001-5000,Major Chemicals,"www.valhi,.com",Tucker Horn
168,74,Sheff Hellmore,Occupational Therapist,"FleetCor Technologies, Inc.",501-1000,Business Services,www.fleetcor.com,Ivy Harper
261,54,Arni Abbiss,Associate Professor,"BioLife Solutions, Inc.",501-1000,Biotechnology: Electromedical & Electrotherapeutic Apparatus,www.biolife.com,Eve Mccarty
985,89,Dollie Hughf,General Manager,LATAM Airlines Group S.A.,1001-5000,Air Freight/Delivery Services,www.latam.com,Jack Mccarthy
136,57,Barry Guitt,Automation Specialist I,"Aaron&#39;s,  Inc.",10000+,Diversified Commercial Services,"www.aaron&#39;s,.com",Colette Black
168,15,Alvinia Dadswell,GIS Technical Architect,"FleetCor Technologies, Inc.",501-1000,Business Services,www.fleetcor.com,Clayton Reid
507,32,Lettie Tant,Senior Developer,Liberty Interactive Corporation,10000+,Catalog/Specialty Distribution,www.liberty.com,Gretchen Montgomery
408,53,Rici Derrington,Quality Control Specialist,Vuzix Corporation,10000+,Radio And Television Broadcasting And Communications Equipment,www.vuzix.com,Mona Mccormick
16,82,Cathy Harbron,Media Manager IV,Enterprise Products Partners L.P.,201-500,Natural Gas Distribution,www.enterprise.com,Rudyard Harrison
698,8,Bambie Hallifax,Electrical Engineer,Bel Fuse Inc.,10000+,Electrical Products,www.bel.com,Dexter Cherry
489,85,Atlanta Caught,Recruiting Manager,"Health Insurance Innovations, Inc.",201-500,Specialty Insurers,www.health.com,Ria Gilbert
624,60,Jarred Buckel,Assistant Professor,"Walgreens Boots Alliance, Inc.",1001-5000,Medical/Nursing Services,www.walgreens.com,Scott Camacho
429,98,Alvira Lawleff,Geological Engineer,"New York Community Bancorp, Inc.",501-1000,Holdings,www.new.com,Maryam Mann
789,14,Rafaellle Cool,Health Coach III,MGC Diagnostics Corporation,201-500,Medical/Dental Instruments,www.mgc.com,Martin Pruitt
392,32,Jerry Chantrell,Programmer Analyst III,"Daseke, Inc.",1001-5000,Transportation Services,"www.daseke,.com",Gretchen Montgomery
467,19,Fernandina Barnsley,VP Marketing,CVS Health Corporation,10000+,Medical/Nursing Services,www.cvs.com,Hasad Conrad
978,91,Derward Wissby,Office Assistant III,Eagle Point Credit Company Inc.,10000+,Holdings,www.eagle.com,Ainsley Ortiz
31,5,Gordie Wheowall,Geological Engineer,First Trust Municipal CEF Income Opportunity ETF,201-500,Holdings,www.first.com,Risa Pugh
983,16,Farley Ghirardi,Teacher,LiNiu Technology Group,10000+,Services-Misc. Amusement & Recreation,www.liniu.com,Kimberley Owen
968,59,Clarance Armes,Statistician III,"Cass Information Systems, Inc",201-500,Business Services,www.cass.com,Amanda Massey
187,75,Sarine Kos,Payment Adjustment Coordinator,"Heritage-Crystal Clean, Inc.",1001-5000,Miscellaneous,www.heritage-crystal.com,Dillon Stanley
175,49,Ainsley Aggio,Recruiter,"Caterpillar, Inc.",501-1000,Construction/Ag Equipment/Trucks,"www.caterpillar,.com",Troy Workman
536,88,Dario Tonepohl,Safety Technician II,Foresight Autonomous Holdings Ltd.,1001-5000,Holdings,www.foresight.com,Rhona Gross
341,12,Merry Van Halle,Analyst Programmer,Diamondrock Hospitality Company,10000+,Real Estate Investment Trusts,www.diamondrock.com,Naomi Livingston
802,67,Ashil Millwater,Technical Writer,Valvoline Inc.,10000+,Major Chemicals,www.valvoline.com,Velma Eaton
558,14,Leandra Lonsdale,Dental Hygienist,INVESCO MORTGAGE CAPITAL INC,10000+,Real Estate Investment Trusts,www.invesco.com,Martin Pruitt
687,14,Alma Follin,Structural Engineer,CBS Corporation,10000+,Holdings,www.cbs.com,Martin Pruitt
710,4,Wendell Gimbrett,Community Outreach Specialist,Rosehill Resources Inc.,1001-5000,Oil & Gas Production,www.rosehill.com,Ignatius Frank
532,49,Magda Baudy,Statistician II,K12 Inc,201-500,Other Consumer Services,www.k12.com,Troy Workman
34,46,Ric Leafe,Business Systems Development Analyst,Atlassian Corporation Plc,1001-5000,Computer Software: Prepackaged Software,www.atlassian.com,Camille Ortega
215,76,Nollie Jakubovsky,Paralegal,"Goldman Sachs Group, Inc. (The)",10000+,Holdings,www.goldman.com,Bethany Horne
310,33,Roselia Toland,Research Nurse,"Regeneron Pharmaceuticals, Inc.",10000+,Major Pharmaceuticals,www.regeneron.com,Chester Payne
715,5,Margy Woodhams,Project Manager,Nuveen North Carolina Quality Municipal Income Fd,201-500,Holdings,www.nuveen.com,Risa Pugh
603,27,Kelsey Breeze,Civil Engineer,"National Health Investors, Inc.",501-1000,Real Estate Investment Trusts,www.national.com,Catherine Estes
44,94,Karena Gianuzzi,Programmer Analyst I,Novanta Inc.,501-1000,Industrial Machinery/Components,www.novanta.com,Adam Burch
451,5,Corabella Bowler,Human Resources Assistant II,MFS Government Markets Income Trust,10000+,Holdings,www.mfs.com,Risa Pugh
143,50,Zulema Sreenan,Statistician I,Pioneer Municipal High Income Advantage Trust,1001-5000,Holdings,www.pioneer.com,Basia Russo
484,10,Dorrie Ikins,Tax Accountant,"Synacor, Inc.",10000+,"Computer Software: Programming, Data Processing","www.synacor,.com",Seth Rosario
417,32,Denna Chimenti,Occupational Therapist,MSA Safety Incorporporated,201-500,Industrial Specialties,www.msa.com,Gretchen Montgomery
481,61,Brad Hallums,Office Assistant II,Glaukos Corporation,10000+,Medical/Dental Instruments,www.glaukos.com,Maryam Whitfield
361,93,Nona Mackstead,Recruiter,Gulfport Energy Corporation,501-1000,Oil & Gas Production,www.gulfport.com,Giselle Dejesus
795,21,Brietta Edmeads,Occupational Therapist,Forum Merger Corporation,501-1000,Business Services,www.forum.com,Vernon Dejesus
48,76,Harvey Farge,Developer I,Telecom Argentina Stet - France Telecom S.A.,201-500,Telecommunications Equipment,www.telecom.com,Bethany Horne
483,3,Edin Le febre,Internal Auditor,Centrais Electricas Brasileiras S.A.- Eletrobras,1001-5000,Holdings,www.centrais.com,Nita Brewer
229,90,Lorettalorna Morhall,Librarian,Kilroy Realty Corporation,1001-5000,Holdings,www.kilroy.com,Josiah Olson
489,96,Davida Canfield,Sales Representative,"Health Insurance Innovations, Inc.",201-500,Specialty Insurers,www.health.com,Joy Valencia
345,69,Helen Shacklady,Editor,"Spark Energy, Inc.",10000+,Power Generation,www.spark.com,Jack Francis
470,96,Georgia Anthoin,Help Desk Technician,Pacific Drilling S.A.,10000+,Oil & Gas Production,www.pacific.com,Joy Valencia
101,96,Sarene Rawet,Physical Therapy Assistant,Education Realty Trust Inc.,10000+,Real Estate Investment Trusts,www.education.com,Joy Valencia
294,18,Barny Ordish,Product Engineer,MTS Systems Corporation,201-500,Industrial Machinery/Components,www.mts.com,Porter Conway
821,82,Brit Wenderott,VP Sales,Deutsche Bank AG,1001-5000,Major Banks,www.deutsche.com,Rudyard Harrison
817,85,Katee Thomsen,Account Representative IV,"Banc of California, Inc.",10000+,Holdings,www.banc.com,Ria Gilbert
410,44,Lishe Ziem,Systems Administrator III,WAVE Life Sciences Ltd.,10000+,Major Pharmaceuticals,www.wave.com,Lani Solomon
242,79,Tilly Chaperlin,VP Accounting,Star Bulk Carriers Corp.,1001-5000,Marine Transportation,www.star.com,Piper Clarke
594,42,Alica Pealing,Financial Analyst,First Trust Multi-Asset Diversified Income Index Fund,501-1000,Holdings,www.first.com,Georgia Middleton
62,59,Trixy Meads,Marketing Assistant,Semgroup Corporation,501-1000,Oilfield Services/Equipment,www.semgroup.com,Amanda Massey
442,32,Trixie Firmage,Occupational Therapist,Fifth Street Asset Management Inc.,501-1000,Investment Managers,www.fifth.com,Gretchen Montgomery
922,96,Pauline Piolli,Software Engineer IV,Harmony Merger Corp.,201-500,Oil & Gas Production,www.harmony.com,Joy Valencia
170,83,Clarance Ingraham,Nurse,Nuveen Floating Rate Income Fund,201-500,Holdings,www.nuveen.com,Kaseem James
270,93,Jada Bothams,Physical Therapy Assistant,Cambrex Corporation,1001-5000,Major Pharmaceuticals,www.cambrex.com,Giselle Dejesus
162,67,Bertina Hayller,Software Test Engineer IV,L.B. Foster Company,201-500,Metal Fabrications,www.l.b..com,Velma Eaton
359,100,Jemimah Fairbard,Associate Professor,Arthur J. Gallagher & Co.,501-1000,Specialty Insurers,www.arthur.com,Quincy Joyner
710,2,Liana Braun,Associate Professor,Rosehill Resources Inc.,1001-5000,Oil & Gas Production,www.rosehill.com,Samuel Acosta
959,75,Sal MacCulloch,Teacher,Great Elm Capital Corp.,1001-5000,Holdings,www.great.com,Dillon Stanley
179,4,Jarrad Hardern,Programmer III,"PrivateBancorp, Inc.",1001-5000,Major Banks,"www.privatebancorp,.com",Ignatius Frank
799,4,Emilee Danielian,Structural Engineer,NetSol Technologies Inc.,501-1000,Computer Software: Prepackaged Software,www.netsol.com,Ignatius Frank
765,98,Hamish Frenzl,Budget/Accounting Analyst III,Scorpio Tankers Inc.,501-1000,Marine Transportation,www.scorpio.com,Maryam Mann
326,2,Stirling Yardley,Teacher,Gladstone Land Corporation,501-1000,Real Estate Investment Trusts,www.gladstone.com,Samuel Acosta
48,90,Dal Duran,Account Representative II,Telecom Argentina Stet - France Telecom S.A.,201-500,Telecommunications Equipment,www.telecom.com,Josiah Olson
327,44,Rudolph Atkyns,Administrative Assistant II,IRSA Inversiones Y Representaciones S.A.,501-1000,Homebuilding,www.irsa.com,Lani Solomon
288,68,Gratia Concannon,Geological Engineer,"Targa Resources, Inc.",201-500,Natural Gas Distribution,www.targa.com,Libby Lyons
468,41,Porty Worsnop,Data Coordiator,General Finance Corporation,201-500,Diversified Commercial Services,www.general.com,Erich Pruitt
250,50,Tessie Tweede,Media Manager IV,Seanergy Maritime Holdings Corp,1001-5000,Marine Transportation,www.seanergy.com,Basia Russo
919,47,Marita Sjostrom,Sales Representative,Cemtrex Inc.,201-500,Industrial Machinery/Components,www.cemtrex.com,Ursa Singleton
789,23,Clem Creddon,Software Engineer I,MGC Diagnostics Corporation,201-500,Medical/Dental Instruments,www.mgc.com,Wylie Klein
830,21,Amalita Brend,Senior Cost Accountant,MSG Networks Inc.,501-1000,Services-Misc. Amusement & Recreation,www.msg.com,Vernon Dejesus
813,52,Minnaminnie Yokel,Recruiting Manager,"Acorda Therapeutics, Inc.",501-1000,Biotechnology: Biological Products (No Diagnostic Substances),www.acorda.com,Daphne Lindsey
243,26,Elena Devorill,Structural Analysis Engineer,"Eagle Pharmaceuticals, Inc.",201-500,Major Pharmaceuticals,www.eagle.com,Sacha Osborn
139,83,Marys Stoakley,Assistant Professor,Cardiome Pharma Corporation,10000+,Major Pharmaceuticals,www.cardiome.com,Kaseem James
283,78,Clerkclaude Galsworthy,VP Quality Control,"Apogee Enterprises, Inc.",10000+,Auto Parts:O.E.M.,www.apogee.com,Audrey Landry
703,11,Clayton Glandon,Human Resources Assistant II,Brasilagro Cia Brasileira De Propriedades Agricolas,1001-5000,Holdings,www.brasilagro.com,Aline Larsen
491,6,Florette Kenworthy,Business Systems Development Analyst,"Vera Bradley, Inc.",1001-5000,Apparel,www.vera.com,Yolanda Wade
962,98,Marcella Woolfall,Accountant II,Taitron Components Incorporated,10000+,Electronic Components,www.taitron.com,Maryam Mann
407,78,Carina Ipgrave,Payment Adjustment Coordinator,"Xcel Brands, Inc",1001-5000,Multi-Sector Companies,www.xcel.com,Audrey Landry
287,96,Tomlin Harmond,Librarian,PowerShares DWA Financial Momentum Portfolio,10000+,Holdings,www.powershares.com,Joy Valencia
98,83,Gregorius Bambridge,Help Desk Technician,"Soleno Therapeutics, Inc.",10000+,Biotechnology: Electromedical & Electrotherapeutic Apparatus,www.soleno.com,Kaseem James
864,83,Agata Say,Senior Financial Analyst,Trimble Inc.,201-500,Industrial Machinery/Components,www.trimble.com,Kaseem James
135,93,Jereme Bagnall,Food Chemist,"Atlantic Capital Bancshares, Inc.",1001-5000,Major Banks,www.atlantic.com,Giselle Dejesus
117,3,Kaia Davall,Human Resources Manager,"Royal Gold, Inc.",201-500,Precious Metals,www.royal.com,Nita Brewer
271,20,Clovis Baus,Engineer III,NICE Ltd,201-500,Computer Manufacturing,www.nice.com,Orson Santos
138,86,Jodi Dennington,Food Chemist,"G1 Therapeutics, Inc.",201-500,Major Pharmaceuticals,www.g1.com,Nyssa King
669,93,Joice Gough,Community Outreach Specialist,"The Michaels Companies, Inc.",501-1000,Recreational Products/Toys,www.the.com,Giselle Dejesus
784,78,Ramonda Bredgeland,Structural Analysis Engineer,iStar Financial Inc.,201-500,Holdings,www.istar.com,Audrey Landry
985,13,Decca Charlotte,GIS Technical Architect,LATAM Airlines Group S.A.,1001-5000,Air Freight/Delivery Services,www.latam.com,Anjolie Murphy
83,86,Dione Calcraft,Financial Analyst,New Mountain Finance Corporation,10000+,Holdings,www.new.com,Nyssa King
3,77,Irwinn Gerge,Environmental Tech,First Bancorp,10000+,Major Banks,www.first.com,Hoyt Downs
934,53,Tudor Abrahart,Community Outreach Specialist,RenaissanceRe Holdings Ltd.,501-1000,Holdings,www.renaissancere.com,Mona Mccormick
789,53,Brandea Comberbeach,Safety Technician I,MGC Diagnostics Corporation,201-500,Medical/Dental Instruments,www.mgc.com,Mona Mccormick
305,88,Kendricks Cormode,Quality Engineer,"Darden Restaurants, Inc.",1001-5000,Restaurants,www.darden.com,Rhona Gross
683,46,Lexine Aronstein,Structural Analysis Engineer,Entercom Communications Corporation,201-500,Broadcasting,www.entercom.com,Camille Ortega
76,66,Kleon Moynihan,Accountant III,"P.A.M. Transportation Services, Inc.",1001-5000,Trucking Freight/Courier Services,www.p.a.m..com,Jacob Dorsey
315,89,Phineas Wickerson,Geological Engineer,WEX Inc.,1001-5000,Business Services,www.wex.com,Jack Mccarthy
799,92,Gray Syversen,Biostatistician I,NetSol Technologies Inc.,501-1000,Computer Software: Prepackaged Software,www.netsol.com,Basil Leach
501,43,Vidovik Bonifant,Nurse Practicioner,Timken Company (The),201-500,Metal Fabrications,www.timken.com,Fritz Rodgers
469,25,Orlan Kirtland,Staff Scientist,"Gabelli Equity Trust, Inc. (The)",501-1000,Holdings,www.gabelli.com,Oliver Craft
989,13,Lawry Dutchburn,Analog Circuit Design manager,Coca Cola Femsa S.A.B. de C.V.,501-1000,Beverages (Production/Distribution),www.coca.com,Anjolie Murphy
408,55,Suellen Shipperbottom,Budget/Accounting Analyst III,Vuzix Corporation,10000+,Radio And Television Broadcasting And Communications Equipment,www.vuzix.com,Arsenio Palmer
381,16,Lee Pashan,VP Quality Control,Baltimore Gas & Electric Company,10000+,Holdings,www.baltimore.com,Kimberley Owen
795,46,Roseline Henlon,Staff Accountant II,Forum Merger Corporation,501-1000,Business Services,www.forum.com,Camille Ortega
764,67,Domeniga Stollberger,Assistant Professor,MiX Telematics Limited,501-1000,Computer Software: Prepackaged Software,www.mix.com,Velma Eaton
528,11,Candice Salerg,Nurse Practicioner,Seadrill Limited,201-500,Oil & Gas Production,www.seadrill.com,Aline Larsen
877,73,Ardys Redihough,Geologist I,"First Financial Northwest, Inc.",10000+,Major Banks,www.first.com,Lysandra Whitfield
511,65,Marshal O' Brian,Safety Technician II,Danaher Corporation,1001-5000,Industrial Machinery/Components,www.danaher.com,Orla Shepard
499,82,Tana Steffan,Tax Accountant,Sunrun Inc.,1001-5000,Industrial Specialties,www.sunrun.com,Rudyard Harrison
114,26,Gabriela Shoard,Database Administrator I,BlackRock Long-Term Municipal Advantage Trust,10000+,Holdings,www.blackrock.com,Sacha Osborn
190,13,Christian McCluin,Associate Professor,CSI Compressco LP,201-500,Oilfield Services/Equipment,www.csi.com,Anjolie Murphy
418,60,Roselia Kaszper,Research Nurse,Realty Income Corporation,1001-5000,Real Estate Investment Trusts,www.realty.com,Scott Camacho
972,33,Aurea Cassin,Occupational Therapist,Fifth Third Bancorp,1001-5000,Major Banks,www.fifth.com,Chester Payne
943,52,Raphaela Morkham,Associate Professor,Partner Communications Company Ltd.,10000+,Telecommunications Equipment,www.partner.com,Daphne Lindsey
28,41,Johannes Reveley,Analyst Programmer,"L3 Technologies, Inc.",501-1000,Radio And Television Broadcasting And Communications Equipment,www.l3.com,Erich Pruitt
32,72,Whit Enocksson,Marketing Manager,SPX Corporation,501-1000,Industrial Machinery/Components,www.spx.com,Stone Dotson
396,63,Cly Dagwell,Staff Scientist,"Achillion Pharmaceuticals, Inc.",1001-5000,Major Pharmaceuticals,www.achillion.com,Zena Cochran
217,93,Berrie Memory,Research Nurse,Brookfield Business Partners L.P.,10000+,Engineering & Construction,www.brookfield.com,Giselle Dejesus
501,46,Anselma Hestrop,Professor,Timken Company (The),201-500,Metal Fabrications,www.timken.com,Camille Ortega
393,87,Curry Phillip,Database Administrator III,Vanguard Mortgage-Backed Securities ETF,501-1000,Holdings,www.vanguard.com,Lacy Chambers
313,43,Alethea Downie,Executive Secretary,Innodata Inc.,10000+,EDP Services,www.innodata.com,Fritz Rodgers
877,26,Kevin de Tocqueville,Financial Advisor,"First Financial Northwest, Inc.",10000+,Major Banks,www.first.com,Sacha Osborn
575,53,Jami Garm,Environmental Tech,KT Corporation,501-1000,Telecommunications Equipment,www.kt.com,Mona Mccormick
909,81,Sheffy Lorentz,Biostatistician IV,"Senomyx, Inc.",501-1000,Biotechnology: Commercial Physical & Biological Resarch,"www.senomyx,.com",Solomon Matthews
467,38,Julissa Lowdes,Product Engineer,CVS Health Corporation,10000+,Medical/Nursing Services,www.cvs.com,Colleen Harper
168,49,Damiano Rainer,Human Resources Assistant IV,"FleetCor Technologies, Inc.",501-1000,Business Services,www.fleetcor.com,Troy Workman
402,79,Morena De Morena,Product Engineer,"Bassett Furniture Industries, Incorporated",201-500,Home Furnishings,www.bassett.com,Piper Clarke
984,58,Korrie Arpe,Media Manager I,"NextEra Energy Partners, LP",10000+,Electric Utilities: Central,www.nextera.com,Lance Floyd
990,70,Annelise Wyllcock,Director of Sales,"Pathfinder Bancorp, Inc.",201-500,Major Banks,www.pathfinder.com,Tucker Horn
992,82,Regine Albertson,Quality Control Specialist,Intellipharmaceutics International Inc.,10000+,Major Pharmaceuticals,www.intellipharmaceutics.com,Rudyard Harrison
89,5,Ros Gaspard,Geologist IV,"Cullen/Frost Bankers, Inc.",201-500,Major Banks,www.cullen/frost.com,Risa Pugh
743,34,Reed Neaverson,Web Developer IV,Baker Hughes Incorporated,201-500,Metal Fabrications,www.baker.com,Dolan Merrill
875,5,Liza Ravilus,Technical Writer,WisdomTree U.S. Quality Dividend Growth Fund,1001-5000,Holdings,www.wisdomtree.com,Risa Pugh
209,4,Shandeigh Charlet,Technical Writer,Big 5 Sporting Goods Corporation,1001-5000,Other Specialty Stores,www.big.com,Ignatius Frank
140,7,Violette Boyes,Electrical Engineer,Signature Bank,1001-5000,Major Banks,www.signature.com,Shaeleigh Ruiz
123,96,Nahum McElrea,Staff Scientist,Marine Petroleum Trust,10000+,Oil & Gas Production,www.marine.com,Joy Valencia
524,30,Licha Bimson,Geologist II,First Trust TCW Opportunistic Fixed Income ETF,201-500,Holdings,www.first.com,Perry Poole
132,30,Dasha Stockle,Executive Secretary,Michael Kors Holdings Limited,10000+,Apparel,www.michael.com,Perry Poole
522,32,Kaylyn Dufour,General Manager,"Worthington Industries, Inc.",1001-5000,Steel/Iron Ore,www.worthington.com,Gretchen Montgomery
958,71,Paco Beckhurst,Design Engineer,Dun & Bradstreet Corporation (The),201-500,Finance: Consumer Services,www.dun.com,Farrah Mcgee
901,69,Gabe Mushett,Paralegal,Boyd Gaming Corporation,501-1000,Hotels/Resorts,www.boyd.com,Jack Francis
369,98,Nadya Hierro,Clinical Specialist,First Trust Brazil AlphaDEX Fund,10000+,Holdings,www.first.com,Maryam Mann
652,55,Bruis MacAndie,VP Sales,"TripAdvisor, Inc.",1001-5000,"Computer Software: Programming, Data Processing","www.tripadvisor,.com",Arsenio Palmer
888,39,Gilles Manhare,Assistant Media Planner,BlackRock California Municipal Income Trust,201-500,Holdings,www.blackrock.com,Gail William
506,76,Sylvia Marcam,Senior Financial Analyst,Navios Maritime Holdings Inc.,501-1000,Holdings,www.navios.com,Bethany Horne
395,98,Miranda Griffiths,Electrical Engineer,First Trust Switzerland AlphaDEX Fund,201-500,Holdings,www.first.com,Maryam Mann
712,88,Corrie Cocci,Legal Assistant,Royal Bank Scotland plc (The),501-1000,Commercial Banks,www.royal.com,Rhona Gross
32,13,Jacintha Ransbury,Chemical Engineer,SPX Corporation,501-1000,Industrial Machinery/Components,www.spx.com,Anjolie Murphy
831,53,Erich Mattiato,Tax Accountant,"LightInTheBox Holding Co., Ltd.",201-500,Catalog/Specialty Distribution,www.lightinthebox.com,Mona Mccormick
58,31,Bertine Cassell,VP Marketing,"Luxottica Group, S.p.A.",10000+,Ophthalmic Goods,www.luxottica.com,Natalie Hull
28,2,Alden Bratt,Nuclear Power Engineer,"L3 Technologies, Inc.",501-1000,Radio And Television Broadcasting And Communications Equipment,www.l3.com,Samuel Acosta
314,77,Devora Athersmith,Analog Circuit Design manager,FIRST REPUBLIC BANK,10000+,Holdings,www.first.com,Hoyt Downs
890,99,Brewer Novichenko,Information Systems Manager,Cerecor Inc.,1001-5000,Major Pharmaceuticals,www.cerecor.com,Calista Rosales
807,61,Alexandro Casey,Operator,"P & F Industries, Inc.",1001-5000,Industrial Machinery/Components,www.p.com,Maryam Whitfield
712,57,Elladine Mary,Safety Technician IV,Royal Bank Scotland plc (The),501-1000,Commercial Banks,www.royal.com,Colette Black
